STATUS: FEASIBLE
LP: 446.13
Lb: 25.68
Ub: 441.76
Root time(s): 0.05
MILP time(s): 60.01
Separation time(s): 0.00
# iterations of cutting plane at root: 1
# cuts added/found via callback (LP): 
type 0: 0/0
type 1: 0/0
type 2: 0/0
type 3: 0/0
type 4: 0/0
type 5: 1/13
type 6: 0/0
type 7: 0/0
type 8: 600/600
# calls to callback: 0
# cuts added/found via callback (MILP): 
type 0: 0/0
type 1: 0/0
type 2: 0/0
type 3: 0/0
type 4: 0/0
type 5: 1/0
type 6: 0/0
type 7: 0/0
type 8: 600/0
# nodes explored: 13693
# tailing offs treated: 0
# maximal cliques: 0
Pre Processing time (s): 0.00
